Feature,MI Score
Flow Bytes/s,0.14631794377476892
Min Packet Length,0.14116452076520702
Fwd Packet Length Min,0.1409812910287852
Average Packet Size,0.14088316750182128
Packet Length Mean,0.14044852419636433
Max Packet Length,0.13968237018173602
Avg Fwd Segment Size,0.13528280166329643
Fwd Packet Length Mean,0.13485364528636923
Fwd Packet Length Max,0.1337620977835018
Inbound,0.1270508574573297
Total Length of Fwd Packets,0.12457249272460047
Subflow Fwd Bytes,0.1244132416855207
Flow Packets/s,0.12409003157357534
Fwd Packets/s,0.12334495887522723
Flow IAT Std,0.10586831806771291
Flow IAT Mean,0.10541590658990341
Protocol,0.10496352123500274
Flow IAT Max,0.10261198220171652
Flow Duration,0.10210982418265813
Bwd Packets/s,0.09665877307865967
Total Backward Packets,0.09592850077998494
Subflow Bwd Packets,0.09588602672893554
Bwd Header Length,0.09345259611427237
Bwd IAT Max,0.09006808471060501
Bwd IAT Mean,0.08980229536023965
Bwd IAT Total,0.08935664835790746
Bwd IAT Min,0.08513099296829485
Packet Length Variance,0.07950331382759734
Packet Length Std,0.07921097601747751
Down/Up Ratio,0.07529318318136302
Fwd Header Length,0.07428058014730166
Fwd Header Length.1,0.07408445680353015
Init_Win_bytes_forward,0.07373630749209437
act_data_pkt_fwd,0.07051456961215508
Fwd IAT Mean,0.06954326573273839
Fwd IAT Total,0.06831314460774074
Fwd IAT Max,0.06801102423778482
Subflow Bwd Bytes,0.06211932709030066
Bwd Packet Length Mean,0.06190139527634453
Avg Bwd Segment Size,0.06140582306826792
Total Length of Bwd Packets,0.061382796640336856
Bwd Packet Length Max,0.061305933427282966
Subflow Fwd Packets,0.057783362099800506
Total Fwd Packets,0.05776715335320115
min_seg_size_forward,0.05204802790465668
URG Flag Count,0.05123639721735862
Init_Win_bytes_backward,0.04999234140982134
Bwd Packet Length Min,0.04289832418213746
Fwd IAT Min,0.03791454981670017
Fwd IAT Std,0.034936164213563936
Fwd Packet Length Std,0.03129856457036495
Flow IAT Min,0.02509938075217466
Bwd IAT Std,0.023439778169322745
CWE Flag Count,0.020991075849395857
ACK Flag Count,0.01734607542370803
Bwd Packet Length Std,0.016829748233003095
Fwd PSH Flags,0.01590552920570465
RST Flag Count,0.015022951042569455
Idle Mean,0.01311826562132179
Idle Max,0.012955104398625128
Active Max,0.012668990477798125
Active Min,0.012382275611225513
Active Mean,0.012004021738032167
Idle Min,0.011267095613324063
Active Std,0.00894784933481807
Idle Std,0.00847509378794653
Bwd Avg Bytes/Bulk,0.0006529938163502003
Fwd Avg Bytes/Bulk,0.0005707006357922317
FIN Flag Count,0.0004097698786524884
Fwd Avg Bulk Rate,0.0003557044570698942
Fwd Avg Packets/Bulk,0.0002341877828686556
Bwd Avg Packets/Bulk,0.00018819634447120315
SYN Flag Count,0.0
PSH Flag Count,0.0
ECE Flag Count,0.0
Bwd Avg Bulk Rate,0.0
